customerNr,firm,contact,position,street,city,region,zip,country,phone,fax
26,Yambee,nstarrp@scribd.com,Europe/Vienna,0200 Ohio Court,Zwettl,Niederösterreich,3923,Austria,+43 809 374 8405,+7 979 128 8737
27,Skalith,slamckenq@newyorker.com,Europe/Berlin,62 Coleman Parkway,München,Bayern,81679,Germany,+49 112 303 2289,+30 641 354 5150
28,Browsezoom,rgoodshipr@123-reg.co.uk,Europe/Berlin,9 Gina Terrace,Nürnberg,Bayern,90480,Germany,+49 850 360 6462,+86 653 358 3080
29,Ozu,jliddiards@shop-pro.jp,Europe/Berlin,3207 Arapahoe Avenue,Nürnberg,Bayern,90451,Germany,+49 206 173 5920,+86 793 148 9446
30,Twitterlist,hcasserleyt@usa.gov,Europe/Berlin,36 Iowa Plaza,München,Bayern,80804,Germany,+49 401 693 8257,+33 274 598 1414
31,Vidoo,dbacchusu@sina.com.cn,Europe/Berlin,65 Grim Avenue,Nürnberg,Bayern,90411,Germany,+49 264 825 6881,+63 523 296 4741
32,Omba,spockeyv@unc.edu,Europe/Berlin,1722 New Castle Pass,München,Bayern,80995,Germany,+49 904 153 4216,+504 936 301 8373
33,Yozio,ahickw@typepad.com,Europe/Berlin,9475 Hoffman Center,Nürnberg,Bayern,90451,Germany,+49 859 602 8105,+63 636 234 4657
34,Zoonder,mtorbetx@topsy.com,Europe/Vienna,21012 Moose Hill,Zwettl,Niederösterreich,3923,Austria,+43 550 157 6335,+62 595 543 8017
35,Voonder,sdevinny@home.pl,Europe/Berlin,8 Hallows Alley,München,Bayern,80995,Germany,+49 839 988 1808,+66 210 438 9122
36,Dabshots,dszimonz@state.gov,Europe/Berlin,677 Tomscot Circle,München,Bayern,81543,Germany,+49 843 364 1460,+86 653 501 2400
37,Twitterbeat,lgladdin10@shareasale.com,Europe/Berlin,517 Mayer Pass,Nürnberg,Bayern,90480,Germany,+49 833 112 2677,+62 402 102 7500
38,Yozio,kcubuzzi11@yale.edu,Europe/Berlin,7 Everett Plaza,Nürnberg,Bayern,90480,Germany,+49 112 662 7759,+33 722 195 1253
39,Vitz,clepage12@google.com.br,Europe/Berlin,35041 Rowland Park,Nürnberg,Bayern,90411,Germany,+49 688 305 2538,+64 223 865 4514
40,Wordware,paharoni13@about.me,Europe/Berlin,4332 Bunting Avenue,Augsburg,Bayern,86156,Germany,+49 627 231 0380,+55 853 260 6783
41,Riffpath,bandryushin14@is.gd,Europe/Berlin,60 Swallow Center,Nürnberg,Bayern,90411,Germany,+49 411 704 5270,+62 734 762 1919
42,Rhynoodle,sbedin15@fema.gov,Europe/Berlin,78953 Cody Avenue,Augsburg,Bayern,86156,Germany,+49 435 368 5622,+31 498 676 6256
43,Jetwire,vweeden16@clickbank.net,Europe/Berlin,2 Pleasure Hill,Augsburg,Bayern,86156,Germany,+49 536 651 1901,+46 401 277 9275
44,Innotype,mabbie17@blog.com,Europe/Berlin,8340 Packers Terrace,Augsburg,Bayern,86156,Germany,+49 542 751 8738,+880 876 423 3831
45,Fivespan,gplose18@hud.gov,Europe/Berlin,4 Red Cloud Court,Nürnberg,Bayern,90411,Germany,+49 113 400 5781,+86 834 989 3270
